swing_id,session,user,level,side,pelvis_peak_vel,pelvis_peak_time_rel_hs,wrist_peak_vel,wrist_peak_time_rel_hs
6_1,6,5,milb,R,739.5306307304248,0.11660000000000004,1304.2937362059245,0.1916
6_2,6,5,milb,R,792.4484150635675,0.11110000000000009,1460.1392087501727,0.18330000000000002
6_3,6,5,milb,R,794.6151974763319,0.09999999999999998,1557.4907637104818,0.1805
6_4,6,5,milb,R,835.7185473821974,0.09999999999999998,1395.1670398287724,0.17500000000000004
6_5,6,5,milb,R,847.8745608170822,0.1028,2005.414138701054,0.17500000000000004
8_1,8,174,milb,L,748.1426984556556,0.0917,1965.4504306512972,0.17499999999999993
8_2,8,174,milb,L,749.8462296773387,0.09160000000000001,1949.0970950737396,0.17220000000000002
8_3,8,174,milb,L,758.4299550263426,0.08890000000000009,1999.788838545335,0.18059999999999998
8_4,8,174,milb,L,744.1461508385097,0.08610000000000007,2220.6006007450687,0.1694
8_5,8,174,milb,L,767.3433259721231,0.08889999999999998,2029.1100182658136,0.17500000000000004
17_1,17,59,milb,R,683.3573033114814,0.13049999999999995,1213.0479822734135,0.17499999999999993
17_2,17,59,milb,R,751.1992996545257,0.1028,1418.759619301575,0.17779999999999996
17_3,17,59,milb,R,668.559854680529,0.15280000000000005,1024.3964209878127,0.19720000000000004
17_4,17,59,milb,R,700.4614790870802,0.09720000000000018,1220.1945032083165,0.1834
17_5,17,59,milb,R,710.0684186698842,0.11390000000000011,1224.3054836316549,0.17779999999999996
21_1,21,92,college,R,641.3178995259527,0.13060000000000005,1192.411744931997,0.18890000000000007
21_2,21,92,college,R,656.7816515160195,0.13329999999999997,714.1635154354918,0.1805
21_3,21,92,college,R,628.7888348579434,0.11939999999999995,1285.2086578636597,0.18610000000000004
21_4,21,92,college,R,643.114076314467,0.11659999999999993,1003.0121842683168,0.17220000000000002
21_5,21,92,college,R,642.5335227086599,0.11950000000000005,1001.8968096798442,0.16949999999999998
23_1,23,109,college,L,795.0843520864186,0.11389999999999989,809.3796459343662,0.16110000000000002
23_2,23,109,college,L,753.5302759867184,0.29720000000000013,867.0478693632665,0.3611
23_3,23,109,college,L,737.7066321838784,0.12230000000000008,813.1331648995322,0.17780000000000018
23_4,23,109,college,L,766.5892208451734,0.10830000000000006,6966.065240210416,0.1277999999999999
23_5,23,109,college,L,655.0721427348441,0.12219999999999986,707.1849826959068,0.18879999999999986
24_1,24,116,college,R,762.1871458561474,0.27780000000000005,1875.4843276711913,0.3389000000000002
24_2,24,116,college,R,808.1995131195451,0.22499999999999998,1982.2951175339308,0.28060000000000007
24_3,24,116,college,R,771.114229011072,0.25,2102.414112544151,0.3194999999999999
24_4,24,116,college,R,766.0585024516665,0.23340000000000005,1931.4423712529297,0.29170000000000007
24_5,24,116,college,R,778.7197123647699,0.23609999999999998,1864.8893705320886,0.29720000000000013
25_1,25,123,college,R,767.6021070078299,0.0694999999999999,1299.5459948692928,0.13890000000000002
25_2,25,123,college,R,744.7538076216462,0.07499999999999996,1957.4078463844523,0.14169999999999994
25_3,25,123,college,R,725.6368542439393,0.07769999999999999,1641.5123567806183,0.13890000000000013
25_4,25,123,college,R,761.9417048960636,0.07779999999999998,1429.527460740006,0.14170000000000005
25_5,25,123,college,R,633.9044639430377,0.06669999999999998,1913.5145294374406,0.1472
33_1,33,139,college,R,747.7314628112421,0.08329999999999993,1882.5518859335086,0.15280000000000005
33_2,33,139,college,R,766.1463947457693,0.08329999999999993,1795.3035941431885,0.15270000000000006
33_3,33,139,college,R,765.5865477416646,0.07769999999999988,1781.3450869559806,0.15270000000000006
33_4,33,139,college,R,767.9331634930608,0.08330000000000015,1844.6767294692206,0.15280000000000005
33_5,33,139,college,R,797.2559303429797,0.08329999999999993,1293.4646832785347,0.1472
36_1,36,142,college,L,788.9680501015043,0.12219999999999986,1411.3518938064774,0.16949999999999976
36_2,36,142,college,L,753.6873320379812,0.125,1169.3103035509523,0.1721999999999999
